	ERneg_HER2neg	ERpos_HER2neg	HER2pos_ERneg	HER2pos_ERpos	TNBC
ACTR3B	0.227272727	0.601851852	0.833333333	0.777777778	0.175438596
ANLN	0.203125	0.689320388	0.166666667	0.411764706	0.218181818
BAG1	0.666666667	0.37962963	0.916666667	0.611111111	0.666666667
BCL2	0.484848485	0.564814815	0.416666667	0.5	0.526315789
BIRC5	0.288135593	0.666666667	0.2	0.352941176	0.296296296
BLVRA	0.712121212	0.342592593	0.583333333	0.277777778	0.701754386
CCNB1	0.257575758	0.62962963	0.333333333	0.444444444	0.228070175
CCNE1	0.166666667	0.722222222	0.166666667	0.444444444	0.192982456
CDC20	0.227272727	0.703703704	0.166666667	0.555555556	0.245614035
CDC6	0.258064516	0.705882353	0.25	0.176470588	0.245283019
CDCA1	0.230769231	0.653846154	0.333333333	0.333333333	0.214285714
CDH3	0.276923077	0.740740741	0.25	0.555555556	0.303571429
CENPF	0.212121212	0.694444444	0.166666667	0.388888889	0.192982456
CEP55	0.181818182	0.70754717	0.166666667	0.411764706	0.175438596
CXXC5	0.848484848	0.296296296	0.583333333	0.222222222	0.842105263
EGFR	0.276923077	0.694444444	0.416666667	0.555555556	0.267857143
ERBB2	0.772727273	0.407407407	0.166666667	0.055555556	0.824561404
ESR1	0.898305085	0.160377358	1	0.588235294	0.88
EXO1	0.253968254	0.686868687	0.166666667	0.352941176	0.277777778
FGFR4	0.603448276	0.5625	0.2	0.294117647	0.641509434
FOXA1	0.782608696	0.276190476	0.727272727	0.388888889	0.769230769
FOXC1	0.227272727	0.712962963	0.583333333	0.647058824	0.228070175
GPR160	0.793650794	0.314814815	0.416666667	0.388888889	0.777777778
GRB7	0.651515152	0.546296296	0.083333333	0.166666667	0.649122807
KIF2C	0.287878788	0.657407407	0.166666667	0.5	0.315789474
KNTC2	0.212121212	0.694444444	0.166666667	0.294117647	0.210526316
KRT14	0.424242424	0.601851852	0.583333333	0.5	0.438596491
KRT17	0.439393939	0.62037037	0.416666667	0.611111111	0.438596491
KRT5	0.393939394	0.592592593	0.583333333	0.666666667	0.385964912
MAPT	0.733333333	0.302083333	1	0.692307692	0.769230769
MDM2	0.476923077	0.509433962	0.5	0.611111111	0.482142857
MELK	0.230769231	0.695238095	0.083333333	0.352941176	0.25
MIA	0.26984127	0.72	0.5	0.5625	0.277777778
MKI67	0.242424242	0.660377358	0.25	0.5	0.228070175
MLPH	0.644067797	0.4375	0.7	0.470588235	0.62962963
MMP11	0.6	0.420560748	0.416666667	0.222222222	0.607142857
MYBL2	0.227272727	0.666666667	0.166666667	0.555555556	0.245614035
MYC	0.303030303	0.592592593	0.583333333	0.833333333	0.298245614
NAT1	0.838709677	0.25	0.916666667	0.333333333	0.849056604
ORC6L	0.254237288	0.691489362	0.166666667	0.428571429	0.28
PGR	0.568965517	0.458333333	0.7	0.411764706	0.528301887
PHGDH	0.181818182	0.777777778	0.333333333	0.5	0.192982456
PTTG1	0.166666667	0.722222222	0.25	0.277777778	0.175438596
RRM2	0.212121212	0.694444444	0.25	0.388888889	0.210526316
SFRP1	0.257575758	0.691588785	0.5	0.666666667	0.192982456
SLC39A6	0.848484848	0.231481481	0.916666667	0.444444444	0.824561404
TMEM45B	0.793103448	0.380952381	0.166666667	0.388888889	0.8
TYMS	0.212121212	0.666666667	0.333333333	0.388888889	0.210526316
UBE2C	0.246153846	0.648148148	0.333333333	0.333333333	0.267857143
UBE2T	0.242424242	0.62037037	0.25	0.444444444	0.228070175
